"","Adygey","Altay","Amur","Arkhangel'sk","Astrakhan'","Bashkortostan","Belgorod","Bryansk","Buryat","Chechnya","Chelyabinsk","Chukot","Chuvash","City of St. Petersburg","Dagestan","Gorno-Altay","Ingush","Irkutsk","Ivanovo","Kabardin-Balkar","Kaliningrad","Kalmyk","Kaluga","Kamchatka","Karachay-Cherkess","Karelia","Kemerovo","Khabarovsk","Khakass","Khanty-Mansiy","Kirov","Komi","Kostroma","Krasnodar","Krasnoyarsk","Kurgan","Kursk","Leningrad","Lipetsk","Maga Buryatdan","Mariy-El","Mordovia","Moscow City","Moskva","Murmansk","Nenets","Nizhegorod","North Ossetia","Novgorod","Novosibirsk","Omsk","Orel","Orenburg","Penza","Perm'","Primor'ye","Pskov","Rostov","Ryazan'","Sakha","Sakhalin","Samara","Saratov","Smolensk","Stavropol'","Sverdlovsk","Tambov","Tatarstan","Tomsk","Tula","Tuva","Tver'","Tyumen'","Udmurt","Ul'yanovsk","Vladimir","Volgograd","Vologda","Voronezh","Yamal-Nenets","Yaroslavl'","Yevrey","Zabaykal'ye"
"Pskov Oblast",6,6,6,11,8,10,7,7,6,8,11,5,7,20,8,10,6,6,5,15,11,6,6,9,16,7,6,8,6,13,4,5,6,7,9,6,6,9,7,14,8,6,8,4,8,6,9,12,7,10,5,6,8,5,5,7,1,4,7,5,7,6,6,8,9,8,5,9,6,6,5,6,7,6,8,8,8,6,7,12,8,6,10
"Rostov Oblast",7,6,7,12,9,10,7,7,7,8,11,6,7,20,7,9,7,7,5,15,11,7,7,9,17,7,6,8,7,12,5,6,4,7,9,7,7,9,7,13,8,5,7,4,8,7,9,11,6,9,6,7,8,7,7,8,4,1,6,7,8,7,5,7,9,8,5,8,6,7,6,7,7,7,8,8,7,6,7,12,7,7,11
"Ryazan Oblast",7,6,7,10,7,12,8,6,6,7,8,7,6,20,7,11,7,7,6,13,10,6,6,8,15,7,8,8,5,10,7,7,8,8,9,5,7,9,7,11,8,8,10,7,6,7,10,13,8,11,7,7,8,5,7,9,7,6,1,6,7,5,6,7,9,10,6,7,7,6,6,7,5,7,8,7,9,7,8,10,9,7,9
"Saint Petersburg",15,15,14,14,15,13,15,15,15,15,15,15,15,10,13,14,14,14,15,14,13,15,14,14,15,14,13,15,15,13,14,16,14,14,13,15,14,14,12,14,14,15,15,15,15,12,13,14,15,14,15,15,11,14,13,14,14,15,16,14,14,13,13,13,13,14,14,12,15,15,15,14,15,14,15,15,15,16,15,12,15,14,15
"Yakutia",7,6,6,11,8,9,8,7,6,7,10,6,7,21,6,10,6,4,7,12,8,6,4,6,15,4,8,9,6,11,7,6,7,7,9,6,6,8,6,10,7,6,10,6,8,6,10,10,8,10,7,7,8,6,7,9,6,6,7,4,5,5,5,8,9,10,6,7,7,5,5,7,7,6,9,6,8,6,8,10,7,6,9
"Sakhalin Oblast",9,8,9,8,7,11,9,8,8,8,8,8,8,21,7,10,9,8,8,12,9,7,7,7,14,6,9,9,7,11,9,8,9,9,10,7,9,9,9,12,8,8,10,8,8,9,9,12,9,10,9,8,9,8,9,9,8,9,7,4,1,6,6,7,8,8,8,8,9,8,8,9,8,9,9,8,9,9,9,9,8,9,8
"Samara Oblast",7,6,5,11,8,10,7,6,6,8,10,7,7,20,6,10,7,7,7,11,8,6,5,6,14,6,6,7,6,11,6,6,7,7,8,6,6,7,7,10,7,8,10,6,6,7,9,13,7,10,6,6,8,6,6,7,7,7,6,4,5,1,4,7,8,9,5,5,6,6,6,6,7,5,9,7,7,7,8,9,8,6,8
"Saratov Oblast",8,7,8,11,8,10,8,7,6,8,10,7,8,20,7,10,8,7,5,12,10,7,7,7,14,6,6,6,7,11,5,7,7,7,9,7,7,9,7,10,6,6,10,7,7,7,9,12,8,11,8,7,8,8,7,8,6,5,7,6,6,5,1,7,6,6,5,7,8,7,7,8,8,8,7,8,9,8,7,10,7,8,9
"Sevastopol",10,9,10,11,10,11,7,9,9,10,10,9,8,20,8,11,9,9,6,13,11,9,9,10,16,9,7,9,9,12,9,9,8,7,9,10,9,9,9,13,8,9,11,9,10,8,8,12,7,9,9,9,10,9,9,10,8,7,9,8,8,8,6,9,5,8,8,8,9,9,8,9,10,9,9,9,10,9,10,11,9,8,10
"Smolensk Oblast",8,8,8,10,10,11,8,6,9,8,8,9,8,19,8,10,8,7,8,13,10,7,8,8,16,8,8,9,8,11,9,8,8,9,9,8,7,9,6,14,9,8,10,7,6,7,9,12,8,9,6,8,8,7,8,9,8,8,8,8,8,8,8,1,9,7,9,9,6,8,9,8,7,9,8,9,8,7,7,8,9,8,11
