"","Adygey","Altay","Amur","Arkhangel'sk","Astrakhan'","Bashkortostan","Belgorod","Bryansk","Buryat","Chechnya","Chelyabinsk","Chukot","Chuvash","City of St. Petersburg","Dagestan","Gorno-Altay","Ingush","Irkutsk","Ivanovo","Kabardin-Balkar","Kaliningrad","Kalmyk","Kaluga","Kamchatka","Karachay-Cherkess","Karelia","Kemerovo","Khabarovsk","Khakass","Khanty-Mansiy","Kirov","Komi","Kostroma","Krasnodar","Krasnoyarsk","Kurgan","Kursk","Leningrad","Lipetsk","Maga Buryatdan","Mariy-El","Mordovia","Moscow City","Moskva","Murmansk","Nenets","Nizhegorod","North Ossetia","Novgorod","Novosibirsk","Omsk","Orel","Orenburg","Penza","Perm'","Primor'ye","Pskov","Rostov","Ryazan'","Sakha","Sakhalin","Samara","Saratov","Smolensk","Stavropol'","Sverdlovsk","Tambov","Tatarstan","Tomsk","Tula","Tuva","Tver'","Tyumen'","Udmurt","Ul'yanovsk","Vladimir","Volgograd","Vologda","Voronezh","Yamal-Nenets","Yaroslavl'","Yevrey","Zabaykal'ye"
"Chechnya",7,7,8,11,9,11,8,7,7,0,7,6,6,20,8,10,8,8,8,13,9,7,7,6,14,7,8,9,7,11,8,8,7,8,9,7,8,7,8,12,8,7,10,7,7,7,8,11,8,11,8,7,7,5,7,8,8,8,7,6,8,7,8,7,10,9,8,8,8,7,7,7,7,8,9,8,8,7,8,11,10,6,10
"Chelyabinsk Oblast",11,10,12,11,11,12,10,7,10,8,1,10,8,20,10,12,11,10,10,13,10,10,11,10,15,10,11,8,9,9,11,11,12,11,10,10,10,10,10,14,10,11,12,11,8,10,12,13,12,8,10,10,10,10,11,12,11,12,9,11,9,11,11,8,12,9,11,11,10,10,11,11,10,12,8,9,11,11,11,11,12,11,11
"Chukotka Autonomous Okrug",10,8,9,11,9,10,9,9,8,7,9,4,6,19,8,10,10,8,9,14,11,9,9,8,15,9,10,9,7,11,9,9,9,9,10,8,8,9,9,12,10,8,10,8,9,9,10,12,9,11,9,10,10,9,10,9,8,9,9,8,9,9,9,9,10,10,9,9,9,8,8,10,9,9,10,10,8,8,9,12,9,10,10
"Chuvashia",9,8,8,11,8,11,9,8,8,6,8,6,2,20,8,10,7,8,7,13,10,8,7,8,15,7,9,8,6,10,9,8,8,8,10,8,7,9,8,12,9,7,10,7,8,8,10,9,8,9,8,9,9,8,9,9,8,8,8,6,7,7,8,9,9,10,8,8,8,7,6,8,8,9,9,8,9,8,9,12,10,8,10
"Crimea",5,6,5,10,8,11,8,6,6,6,9,5,6,20,7,9,6,6,7,12,9,5,5,8,15,5,7,9,7,12,5,5,6,7,9,6,6,7,6,12,6,6,11,5,7,6,9,10,8,10,5,4,7,5,5,6,6,6,7,5,8,5,6,7,9,9,6,8,5,5,5,6,5,6,10,6,8,6,6,11,8,5,10
"Dagestan",7,6,8,9,8,8,8,8,7,8,9,7,8,20,0,9,6,7,8,13,9,7,6,7,15,5,7,9,7,10,8,8,8,7,9,6,7,8,6,9,7,8,11,7,8,6,9,11,8,10,7,7,8,6,7,9,7,6,7,6,6,6,6,8,9,10,7,4,7,7,7,7,8,7,10,8,7,7,8,10,7,7,9
"Ingushetia",9,9,9,11,10,11,10,10,8,8,11,8,9,20,7,10,4,7,9,14,10,10,8,7,15,7,10,10,10,11,10,9,8,9,11,9,9,10,8,10,10,8,10,8,9,8,10,8,10,10,9,9,10,8,9,10,9,8,10,8,8,9,9,9,10,10,10,9,9,8,8,9,8,8,10,9,10,9,9,11,9,9,11
"Irkutsk Oblast",8,7,7,9,9,10,8,5,7,8,10,7,7,20,8,10,5,1,7,13,11,7,7,8,15,8,8,9,7,11,8,8,8,8,9,7,5,9,5,12,8,8,11,7,6,6,10,11,8,10,6,7,7,8,8,8,7,7,8,7,7,8,7,7,10,8,8,8,6,7,7,8,7,7,9,8,9,8,8,12,9,8,10
"Ivanovo Oblast",8,8,8,10,9,11,6,7,8,8,10,7,8,20,8,9,6,7,1,13,10,7,7,9,16,7,6,7,7,11,6,7,8,6,8,8,8,8,8,13,8,6,10,7,8,7,8,13,6,10,8,8,7,7,8,8,6,6,7,7,8,7,6,8,7,7,6,8,7,8,7,7,8,8,6,7,8,7,8,11,8,8,10
"Jewish Autonomous Oblast",8,8,8,12,9,12,7,8,8,8,10,8,7,20,7,11,6,8,8,14,10,8,8,9,16,8,7,10,8,13,7,7,8,9,11,8,7,7,8,14,7,8,10,7,8,7,10,12,8,10,7,8,8,7,7,9,7,7,8,7,8,8,8,8,10,9,8,8,7,8,8,8,8,8,10,8,9,8,8,12,9,7,11
"Kabardino-Balkaria",17,16,17,16,15,15,15,15,16,16,16,17,17,21,16,12,17,16,15,3,13,15,14,13,14,12,15,12,14,13,15,15,14,12,12,15,15,15,16,14,13,13,17,15,15,17,16,15,16,16,17,16,15,16,17,15,17,17,16,15,14,14,15,16,15,14,16,14,16,16,17,17,17,16,15,14,16,15,16,15,13,17,13
"Kaliningrad Oblast",11,10,11,11,11,12,9,11,11,10,11,12,11,21,10,11,10,12,11,10,1,9,7,9,14,8,10,11,10,11,9,10,10,9,9,9,10,5,11,11,10,11,12,11,11,11,9,13,10,10,12,11,10,10,11,10,12,12,11,10,10,9,10,11,12,12,11,10,12,10,11,11,11,11,10,9,7,9,11,11,11,11,11
"Kalmykia",7,7,7,11,8,11,7,8,7,7,9,7,8,22,7,10,8,8,8,11,7,2,4,6,13,4,7,8,7,9,7,5,6,7,8,7,6,8,8,11,6,6,10,6,7,8,10,11,8,10,6,8,8,7,7,8,7,8,8,5,6,5,7,8,9,10,6,7,6,6,7,8,7,7,9,7,7,6,8,10,9,8,8
"Kaluga Oblast",6,5,6,11,9,11,7,7,6,8,10,6,6,21,6,10,6,6,7,12,6,4,1,6,14,5,7,8,6,10,6,6,7,6,8,4,5,7,7,11,7,8,10,6,8,7,9,13,8,11,7,7,8,6,7,9,7,7,7,5,7,5,6,7,9,9,6,7,7,5,5,7,7,6,9,7,6,5,8,10,8,7,9
"Kamchatka Krai",10,8,9,11,9,10,10,9,8,7,10,8,9,21,7,10,10,9,9,10,8,7,7,1,11,7,8,9,6,10,9,8,8,8,9,8,8,9,9,10,9,9,10,9,9,9,10,11,10,11,8,10,10,9,10,10,9,9,9,7,7,6,7,9,10,10,8,7,8,9,9,10,10,8,10,10,9,9,10,10,9,10,9
"Karachay-Cherkessia",17,17,18,14,16,15,18,16,17,15,17,16,16,20,16,17,18,16,18,14,16,15,16,12,2,13,16,14,13,13,17,17,16,15,13,16,16,18,17,16,15,16,17,17,16,16,17,14,18,17,18,17,17,17,17,17,18,18,17,16,15,15,16,17,17,17,18,15,18,18,18,17,17,18,17,17,18,18,17,13,16,17,15
"Republic of Karelia",18,17,17,18,18,17,15,18,17,17,17,17,17,20,17,17,18,18,18,16,16,17,16,16,18,12,17,16,18,17,17,17,16,16,16,17,17,16,17,17,17,16,16,17,17,17,17,15,17,17,19,16,17,17,17,16,18,17,17,17,16,16,17,17,17,17,17,17,18,16,17,18,17,17,17,16,16,16,17,17,16,16,17
"Kemerovo Oblast",9,9,7,12,10,11,6,9,8,8,10,8,9,19,8,11,9,9,6,13,10,8,8,7,14,7,1,6,8,12,5,7,6,7,9,7,7,8,8,13,9,7,11,8,9,7,7,13,7,11,8,8,8,8,7,8,7,7,9,9,9,7,7,8,7,7,6,8,8,9,8,7,8,7,8,9,9,8,8,11,9,7,11
"Khabarovsk Krai",11,10,10,9,10,11,9,8,10,10,8,9,8,21,10,11,10,9,8,10,10,8,9,8,13,8,7,1,6,9,7,9,8,8,8,9,7,11,9,12,9,9,11,9,8,10,10,12,9,10,9,10,10,10,10,10,9,9,9,10,10,8,7,9,8,7,8,8,8,10,10,10,11,10,6,10,10,10,9,11,10,10,9
"Khakassia",9,8,9,10,9,10,9,7,8,7,9,7,6,21,7,10,8,7,8,11,9,7,6,7,13,5,8,6,2,7,8,7,7,7,8,7,7,9,8,12,8,7,10,7,7,8,10,9,9,10,8,9,9,8,9,9,8,8,7,6,6,6,7,8,9,10,8,6,8,8,8,9,9,9,9,7,9,8,9,11,9,9,8
"Khanty-Mansi Autonomous Okrug",13,12,14,12,12,12,14,10,12,12,10,13,11,20,11,12,12,12,12,12,11,11,11,11,13,11,13,10,9,2,13,12,11,11,9,11,12,12,12,13,11,13,13,12,11,12,14,13,14,13,13,14,13,12,14,14,13,13,11,12,11,12,12,12,13,13,13,10,13,13,13,14,12,14,11,12,13,13,13,11,12,13,11
"Kirov Oblast",6,6,6,12,9,11,7,7,5,8,11,6,7,19,8,9,6,7,5,13,9,5,5,8,15,5,4,6,6,12,1,4,5,7,9,4,4,8,6,13,7,5,9,5,7,6,8,11,7,10,6,5,8,6,5,7,4,5,7,6,8,6,5,8,8,7,5,8,6,6,5,6,7,6,8,8,8,6,6,12,7,6,11
"Komi Republic",12,13,11,13,13,13,12,13,12,12,13,12,12,18,12,12,12,12,13,13,11,12,11,11,16,9,10,12,12,11,11,9,11,12,12,11,11,12,11,13,11,11,12,12,13,12,11,11,12,12,12,11,11,12,12,12,13,12,12,13,11,12,13,11,11,13,11,13,11,11,12,12,12,11,13,12,12,12,11,12,12,12,13
"Kostroma Oblast",9,7,8,12,7,9,8,9,7,8,11,8,9,19,8,9,9,9,8,12,9,7,7,8,15,7,6,7,8,10,6,6,1,6,8,6,7,8,9,12,9,7,9,6,8,9,9,11,7,9,8,8,9,8,7,9,7,5,9,8,9,7,8,9,8,9,8,7,7,8,8,8,9,8,9,8,7,7,7,12,9,8,11
"Krasnodar Krai",10,9,9,10,9,11,9,8,9,9,11,9,9,20,8,10,9,9,7,11,8,8,7,8,13,7,8,8,7,10,8,8,7,1,3,8,8,8,10,12,9,9,10,8,9,9,10,12,9,10,9,9,7,8,10,8,8,8,8,8,9,7,8,10,8,10,8,9,9,9,9,9,10,9,9,8,9,8,9,11,9,10,10
"Krasnoyarsk Krai",11,11,11,9,11,10,10,7,10,10,10,11,10,19,10,10,10,9,9,11,9,8,9,8,12,9,10,8,8,8,10,10,9,4,1,10,8,10,10,11,10,11,10,10,9,10,11,12,10,9,10,11,9,10,11,9,10,10,10,10,10,9,10,9,10,10,10,9,9,11,11,11,11,11,9,10,10,11,11,12,10,11,10
"Kurgan Oblast",6,6,6,10,7,11,7,5,4,7,9,7,6,21,7,10,6,7,7,12,9,6,5,7,14,5,7,8,5,10,5,6,7,7,9,1,4,8,7,11,7,7,10,7,4,7,9,12,7,11,7,6,8,6,6,9,7,7,5,6,7,6,6,7,9,9,7,7,7,5,5,7,6,7,8,8,8,7,7,11,8,7,10
"Kursk Oblast",6,6,5,11,8,11,8,6,4,8,10,6,6,20,7,10,6,5,7,12,10,5,5,7,14,5,6,7,6,11,4,5,6,7,8,3,1,9,6,12,7,7,10,5,5,6,10,11,8,9,4,5,8,6,5,8,5,6,7,6,8,6,6,7,9,8,6,7,4,5,5,6,6,6,9,8,9,7,7,12,8,6,10
"Leningrad Oblast",9,9,9,10,9,12,7,9,9,8,10,10,9,21,9,10,8,10,9,12,5,10,8,10,16,9,8,10,9,11,8,9,9,8,9,8,9,1,8,11,9,9,11,9,10,8,8,13,8,10,10,9,8,7,8,8,10,10,9,9,10,8,9,10,10,10,10,9,10,9,9,9,10,9,10,9,6,8,9,12,10,8,11
"Lipetsk Oblast",8,7,8,10,10,11,8,6,8,8,10,8,7,18,7,11,7,5,8,13,10,7,8,8,16,7,7,9,7,11,7,8,8,9,10,8,6,8,1,13,8,8,11,7,7,5,8,12,8,9,6,7,8,7,7,8,7,7,8,8,8,8,7,6,10,9,8,8,6,8,8,7,8,8,9,8,9,8,8,11,10,7,11
"Magadan Oblast",8,7,8,10,7,11,8,7,7,8,9,8,7,21,5,11,7,8,7,11,9,7,6,7,14,7,8,8,6,10,8,8,8,7,9,6,8,9,8,8,6,7,10,6,6,8,10,13,8,11,8,8,8,7,8,9,8,8,5,6,6,5,6,8,9,9,7,6,8,7,7,8,7,8,9,7,8,7,8,9,8,8,8
"Mari El",7,7,7,11,9,11,8,7,6,8,9,7,7,21,7,9,7,7,7,11,9,6,6,8,15,5,8,8,7,12,6,6,8,8,10,6,6,8,7,11,2,6,9,6,6,7,10,11,8,10,7,5,8,7,6,8,7,7,7,6,7,6,5,8,7,9,6,7,7,7,7,7,7,7,9,6,9,7,7,11,7,7,9
